ID,Job_Title,Salary_Estimate,Rating,Company_Name,States,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_provided,Lower_Salary,Upper_Salary,Avg_SalaryK,Age,Python,spark,aws,excel,sql_,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree
0,Data Scientist,$53K-$91K ,3.8,Tecolote Research,NM,"Albuquerque, NM","Goleta, CA",501 - 1000,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),Unknown,0,0,53,91,72,48,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,data scientist,na,M
1,Healthcare Data Scientist,$63K-$112K ,3.4,University of Maryland Medical System,MD,"Linthicum, MD","Baltimore, MD",10000+,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),Unknown,0,0,63,112,87.5,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
2,Data Scientist,$80K-$90K ,4.8,KnowBe4,FL,"Clearwater, FL","Clearwater, FL",501 - 1000,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),Unknown,0,0,80,90,85,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
3,Data Scientist,$56K-$97K ,3.8,PNNL,WA,"Richland, WA","Richland, WA",1001 - 5000,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
4,Data Scientist,$86K-$143K ,2.9,Affinity Solutions,NY,"New York, NY","New York, NY",51 - 200,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",0,0,86,143,114.5,23,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
5,Data Scientist,$71K-$119K ,3.4,CyrusOne,TX,"Dallas, TX","Dallas, TX",201 - 500,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71,119,95,21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,data scientist,na,na
6,Data Scientist,$54K-$93K ,4.1,ClearOne Advantage,MD,"Baltimore, MD","Baltimore, MD",501 - 1000,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,Unknown,0,0,54,93,73.5,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
7,Data Scientist,$86K-$142K ,3.8,Logic20/20,CA,"San Jose, CA","Seattle, WA",201 - 500,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),Unknown,0,0,86,142,114,16,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M
8,Research Scientist,$38K-$84K ,3.3,Rochester Regional Health,NY,"Rochester, NY","Rochester, NY",10000+,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),Unknown,0,0,38,84,61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P
9,Data Scientist,$120K-$160K ,4.6,<intent>,NY,"New York, NY","New York, NY",51 - 200,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",0,0,120,160,140,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
10,Data Scientist,$126K-$201K ,3.5,Wish,CA,"San Jose, CA","San Francisco, CA",501 - 1000,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),Unknown,0,0,126,201,163.5,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
11,Data Scientist,$64K-$106K ,4.1,ManTech,VA,"Chantilly, VA","Herndon, VA",5001 - 10000,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),Unknown,0,0,64,106,85,53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na
12,Staff Data Scientist - Technology,$106K-$172K ,3.2,Walmart,TX,"Plano, TX","Bentonville, AR",10000+,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",0,0,106,172,139,59,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,M
13,Data Analyst,$46K-$85K ,4.1,Yesler,WA,"Seattle, WA","Seattle, WA",201 - 500,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,Unknown,0,0,46,85,65.5,9,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,na,na
14,Data Scientist,$83K-$144K ,3.7,Takeda Pharmaceuticals,MA,"Cambridge, MA","OSAKA, Japan",10000+,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,83,144,113.5,240,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,data scientist,na,M
15,Data Engineer I,$102K-$190K ,3.6,Audible,NJ,"Newark, NJ","Newark, NJ",1001 - 5000,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,Unknown,0,0,102,190,146,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,na
16,"Scientist I/II, Biology",$67K-$137K ,3.9,Blueprint Medicines,MA,"Cambridge, MA","Cambridge, MA",51 - 200,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"bluebird bio, Agios Pharmaceuticals, Celgene",0,0,67,137,102,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P
17,Customer Data Scientist,$118K-$189K ,4.3,h2o.ai,CA,"Mountain View, CA","Mountain View, CA",201 - 500,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,0,0,118,189,153.5,10,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,M
18,Data Scientist - Health Data Analytics,$110K-$175K ,4.2,Nuna,CA,"San Francisco, CA","San Francisco, CA",51 - 200,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,0,0,110,175,142.5,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na
19,Data Scientist,$64K-$111K ,4,Pinnacol Assurance,CO,"Denver, CO","Denver, CO",501 - 1000,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),Unknown,0,0,64,111,87.5,106,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,data scientist,na,M
20,Data Scientist,$81K-$130K ,3.2,Porch,WA,"Seattle, WA","Seattle, WA",201 - 500,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Angie's List, HomeAdvisor, Thumbtack",0,0,81,130,105.5,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M
21,Senior Data Scientist / Machine Learning,$73K-$119K ,3.9,Health IQ,TX,"Dallas, TX","Mountain View, CA",201 - 500,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,Unknown,0,0,73,119,96,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,P
22,Data Scientist - Quantitative,$86K-$139K ,3.8,Truckstop.com,IL,"Chicago, IL","New Plymouth, ID",501 - 1000,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,Unknown,0,0,86,139,112.5,26,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,data scientist,na,M
